Wavelength,Absorbance
190,-0.86
190.5,-1.659
191,-2.591
191.5,-3.724
192,-4.85
192.5,-6.089
193,-7.391
193.5,-8.636
194,-9.538
194.5,-10.099
195,-10.336
195.5,-10.154
196,-9.542
196.5,-8.821
197,-7.926
197.5,-6.993
198,-5.922
198.5,-4.974
199,-3.912
199.5,-2.785
200,-1.738
200.5,-0.549
201,0.572
201.5,1.676
202,2.872
202.5,4.163
203,5.313
203.5,6.373
204,7.572
204.5,8.515
205,9.361
205.5,10.188
206,10.782
206.5,11.301
207,11.811
207.5,12.265
208,12.857
208.5,13.423
209,14.067
209.5,14.683
210,15.241
210.5,15.507
211,15.848
211.5,16.239
212,16.814
212.5,17.238
213,17.719
213.5,18.268
214,18.812
214.5,19.166
215,19.128
215.5,19.043
216,19.383
216.5,19.482
217,19.689
217.5,19.553
218,19.721
218.5,19.843
219,19.766
219.5,19.456
220,19.21
220.5,19.037
221,18.913
221.5,18.695
222,18.465
222.5,18.137
223,17.896
223.5,17.61
224,17.257
224.5,16.92
225,16.575
225.5,16.216
226,15.787
226.5,15.319
227,14.776
227.5,14.253
228,13.72
228.5,13.203
229,12.725
229.5,12.267
230,11.801
230.5,11.293
231,10.739
231.5,10.14
232,9.505
232.5,8.857
233,8.224
233.5,7.624
234,7.057
234.5,6.539
235,6.064
235.5,5.622
236,5.211
236.5,4.826
237,4.463
237.5,4.124
238,3.809
238.5,3.518
239,3.25
239.5,3.011
240,2.789
240.5,2.591
241,2.415
241.5,2.267
242,2.14
242.5,2.035
243,1.947
243.5,1.869
244,1.799
244.5,1.733
245,1.669
245.5,1.609
246,1.556
246.5,1.511
247,1.476
247.5,1.45
248,1.428
248.5,1.41
249,1.4
249.5,1.391
250,1.378
250.5,1.365
251,1.355
251.5,1.345
252,1.339
252.5,1.332
253,1.328
253.5,1.327
254,1.334
254.5,1.345
255,1.352
255.5,1.36
256,1.37
256.5,1.387
257,1.403
257.5,1.421
258,1.44
258.5,1.461
259,1.481
259.5,1.503
260,1.518
260.5,1.538
261,1.558
261.5,1.581
262,1.605
262.5,1.635
263,1.664
263.5,1.697
264,1.727
264.5,1.758
265,1.789
265.5,1.821
266,1.846
266.5,1.876
267,1.906
267.5,1.939
268,1.97
268.5,2.003
269,2.035
269.5,2.065
270,2.098
270.5,2.123
271,2.151
271.5,2.181
272,2.206
272.5,2.237
273,2.265
273.5,2.295
274,2.323
274.5,2.351
275,2.377
275.5,2.395
276,2.417
276.5,2.436
277,2.45
277.5,2.463
278,2.473
278.5,2.484
279,2.488
279.5,2.49
280,2.488
280.5,2.485
281,2.484
281.5,2.484
282,2.486
282.5,2.487
283,2.482
283.5,2.477
284,2.459
284.5,2.436
285,2.4
285.5,2.356
286,2.307
286.5,2.255
287,2.204
287.5,2.154
288,2.107
288.5,2.074
289,2.046
289.5,2.029
290,2.014
290.5,1.999
291,1.979
291.5,1.946
292,1.901
292.5,1.842
