A1: Ladder,B1: plate2_A1,C1: plate2_H12,D1: plate3_A1,E1: plate3_H12,F1: plate4_A1,G1: plate4_H12
0,0,0,0,175.7507,0.5611771,0.1167268
0,0,0,0.9741623,178.5412,1.011321,0.03102474
0.2340283,0,0,3.497543,184.9381,3.708731,0
0.4834649,0,0,5.365617,187.2866,6.004138,0
1.188243,0,0,7.294292,187.0928,7.18411,0.09238207
3.110822,0,0,9.795667,182.5302,8.718069,0.3634117
3.051943,0,0,11.01627,188.0148,11.54368,0.7621598
3.645074,0,0,10.88325,195.0305,13.71101,1.410713
3.41957,0,0,9.057984,193.4051,11.43538,1.947794
2.977083,0,0,8.550611,189.131,8.622113,2.242088
2.226075,0,0,8.445503,183.9094,6.962175,2.379659
1.225474,0,0,9.067989,190.9783,6.166814,2.517823
1.322807,0,0,10.09413,193.9818,5.397061,2.662838
1.72771,0,1.219434,10.65427,192.7492,4.784729,2.627926
2.363679,0,3.576169,10.51996,192.5596,5.556555,2.280434
2.559628,0,5.828134,11.27732,195.6133,6.279776,1.326218
3.445756,0,7.444832,15.06094,204.2327,9.224673,0.4894479
4.362784,0,8.06657,14.36274,210.1563,10.53668,0.09618031
3.544312,0,7.699687,14.6268,213.6209,10.13346,0.442068
3.084139,0,7.674971,13.78953,211.2837,9.265541,0.9259956
1.81842,0,5.418265,13.65574,210.1778,8.418179,1.108202
1.146146,0,3.362145,14.28127,210.511,7.22132,1.888412
0.4558211,0,1.883042,14.0847,217.8116,5.456334,2.541938
0,1.111279,0.6971694,12.96204,223.3338,3.245151,2.789172
0,2.953749,0,12.24218,227.3604,1.700219,3.677793
0,4.433246,0.05488022,11.58134,232.0542,1.4193,3.938024
0,5.61521,0.4145185,10.27774,240.0751,4.696014,3.581574
0,6.792408,1.675505,8.775462,252.7539,6.885823,2.893877
0.4322818,5.702867,3.190767,5.521181,259.8048,6.090813,2.006535
0.6854127,5.190044,3.554993,2.95979,267.6896,4.642334,2.037389
0.8042963,6.112447,3.927533,1.900102,280.0541,4.733382,1.90418
1.068671,5.990492,4.011117,0.252644,290.8593,9.475459,0.8678679
0.7641713,6.784447,3.954427,1.508337,300.7782,15.17325,0.57613
0.3333173,8.539765,3.994382,1.657745,309.1664,15.16265,0.5410489
0.07692583,9.773234,3.579278,2.635301,313.8281,14.12411,0.3047694
0.3498741,9.857693,2.452904,5.050198,316.1305,13.39123,0.2992633
0.5828422,10.23476,2.262293,7.381505,323.1073,12.74093,1.432359
0.9161543,11.96425,2.91612,7.787384,328.2526,12.65267,1.908605
2.272038,12.00447,4.379638,6.630203,331.3254,13.72201,2.560344
3.398635,9.709265,6.124933,5.570331,336.4914,4.503821,2.932858
3.739522,8.717787,6.741852,4.580528,344.2105,1.236878,3.399826
4.022057,8.154045,7.470833,3.239011,356.4295,0.1971639,3.423699
4.480134,6.706593,9.403825,1.548619,363.5594,3.529711,2.727555
4.839089,4.58279,11.19065,0.4385344,370.3358,9.166085,1.793727
4.831533,2.426482,11.65388,0.05307366,381.155,12.94128,1.079138
4.740471,0.7829306,11.86873,0.2406981,388.537,13.00262,0.5416998
5.088083,0,9.444256,0.7074803,394.4049,12.70393,0.1160295
4.251365,0,8.593403,1.695858,403.8151,10.64562,0
3.847755,0,8.073184,3.720385,413.9658,9.570987,0
4.338647,0,7.972703,4.958869,424.793,8.049555,0
4.8824,1.212447,8.424534,5.143137,439.0536,4.342926,0.03908828
4.355093,3.76862,8.42229,6.948851,455.8217,2.558456,0.2007399
3.855297,5.010526,7.62235,6.885172,476.2038,3.79428,0.4426157
3.203192,5.150292,8.514778,6.46403,496.3064,5.775885,0.4931959
4.087672,3.059489,8.684701,6.607399,518.9868,11.33441,0.379124
5.015109,0.6888236,8.363861,6.24441,548.8821,12.6648,0.2140046
5.681945,0.1349713,6.917736,4.588127,583.5536,13.12883,0.3134733
6.387553,0.1864464,5.422619,4.67712,619.5906,14.87523,0.6241905
7.308414,0.5279971,5.569523,4.198667,651.6581,15.45322,0.7225569
7.529457,1.662974,5.983392,4.581962,693.8462,16.54734,0.5155002
8.732657,3.046049,6.342021,4.913999,743.6517,18.22644,0.9532744
9.421576,2.755091,7.688152,5.59372,807.1926,18.36106,1.289957
9.64317,3.132799,8.584984,7.125358,880.5818,20.07269,1.727423
9.811561,3.12601,7.502368,7.880352,966.0781,21.81422,2.118746
10.32243,2.792638,8.213591,6.423738,1057.101,22.05268,2.499331
11.27485,2.164444,8.156255,5.192748,1158.457,23.18717,2.948026
12.86806,3.126877,7.920417,5.352407,1280.151,22.75984,3.44748
14.49568,7.63435,7.346809,4.140374,1402.838,20.81199,4.611455
17.1511,10.83693,7.366832,5.907921,1530.674,19.4377,6.008937
19.34077,13.55241,8.093633,6.850552,1678.653,19.59248,7.421431
20.69193,16.63858,8.969926,8.271556,1865.593,17.91485,9.000015
22.60786,16.91952,10.54274,10.95631,2076.503,19.71977,11.09912
24.66598,17.94823,13.82906,13.95555,2302.329,20.07711,13.98302
28.15688,20.54617,15.91739,16.2981,2569.914,21.65174,17.75942
33.18148,23.36622,17.99619,18.55488,2878.916,22.11731,22.57138
39.25277,26.82553,20.24629,18.92096,3237.726,23.53872,29.099
46.84275,31.97918,22.77565,21.37786,3650.539,28.25841,36.60688
56.3643,39.26868,25.78687,26.73675,4148.083,34.66163,44.98516
67.21892,50.1682,30.04496,32.96443,4761.675,39.3485,55.57713
80.56385,57.56378,36.4604,41.59141,5433.111,45.73395,68.36028
95.78098,70.01008,45.30292,53.55448,6198.319,52.66925,83.05836
111.3791,86.75243,56.23251,67.66494,7088.22,60.56908,100.3733
128.3172,105.8947,70.8462,84.85076,8058.163,70.99639,119.8826
146.9126,129.4511,88.00471,103.2681,9191.931,84.27884,142.3878
