A1: Ladder,B1: Jono 2.3A cDNA 10F,C1: Nicky 2.3A cDNA 10F
0.06956816,0.249907,0
0.08896923,0.3732314,0.07030869
0.1050434,0.3609576,0.1644211
0.08500195,0.339355,0.2422647
0.06097746,0.3359075,0.2164893
0.1169052,0.2678008,0.2205839
0.2207584,0.2156992,0.2626967
0.1797848,0.1852217,0.3391018
0.3064265,0.10851,0.5505424
0.2883201,0.1827087,0.4826646
0.4510207,0.2119455,0.5073118
0.4060192,0.2078347,0.5759401
0.2483053,0.02776814,0.732048
0.1582022,0,0.8286495
0,0.04598331,0.736124
0.08228207,0.03349972,0.7644577
0.07838392,0.1836796,0.7142029
0.05480385,0.2142115,0.6474152
0.1739101,0.4518318,0.5651498
0.1281538,0.6550112,0.1987
0.1350813,0.6490707,0.04657936
0.1437311,0.6164141,0
0.0259304,0.5303183,0
0.076581,0.5419307,0
0.0243845,0.5506411,0
0.01361752,0.3325615,0.1999598
0,0.4157276,0.1328163
0.1251431,0.4088802,0.1134958
0.04835701,0.5817695,0.1373339
0,0.6693354,0
0.07936478,0.5612774,0
0.01884937,0.4411254,0.03514862
0.04223537,0.3204536,0.2424879
0.06732655,0.2597432,0.2835503
0.06952,0.1899467,0.4087124
0,0,0.4272337
0.1451159,0.1887474,0.2147322
0.1476831,0.3197727,0.0983181
0.05735207,0.3951387,0.006235123
0.1200399,0.4198895,0
0.2343149,0.3630829,0
0,0.2869644,0
0,0.1761446,0.03778076
0.04259205,0.122261,0.07843876
0.140008,0.02518272,0
0.2394915,0,0
0.3382463,0,0
0.3399534,0,0.04120064
0.4113913,0.001475334,0.1170187
0.3449793,0.01620674,0.2221794
0.2563744,0.04237175,0.2693434
0.09519196,0,0.3056145
0.1786327,0.09576797,0.3135214
0.09659576,0,0.2785425
0.1577806,0,0.2294493
0.205121,0.02209091,0.3421822
0.1894073,0.0270853,0.3899946
0.32236,0.06525803,0.5611649
0.2842016,0.1041212,0.6895494
0.1915741,0.1245747,0.8455229
0.07310009,0.1024895,1.024103
0.1691322,0,1.074019
0.258935,0.02403736,1.079577
0.2973022,0,1.196075
0.5387831,0,1.349431
0.7084694,0,1.594796
0.8250322,0.3067713,1.938582
0.9995537,1.115911,2.411138
0.8769169,2.114139,3.063238
0.762331,3.396836,4.048236
0.606679,4.815676,5.155081
0.6247463,6.578485,6.567017
0.5777025,8.727295,8.265894
0.5723219,11.08446,10.52766
0.6553297,14.16716,13.13771
0.8373022,17.88992,16.62395
1.036332,22.17321,20.68166
1.40685,27.14399,26.02326
1.757769,32.70294,32.50201
2.219063,38.90347,40.57047
2.754023,45.0372,50.1545
3.415816,51.70521,60.88853
4.281549,58.65728,74.09456
5.455694,66.25272,88.93467
7.037049,73.62557,106.9139
9.153618,81.0874,126.7568
11.73786,88.16766,149.5279
15.02147,94.94125,173.7144
18.95935,101.0025,200.6478
24.01704,106.2298,229.2582
30.09587,110.4275,259.6187
36.91204,113.9757,291.5401
45.1628,116.716,324.0629
54.81387,118.1252,354.6768
65.57574,117.5603,384.2866
77.94288,115.7932,410.7513
91.14766,112.6949,435.4274
106.0533,108.1242,455.4344
122.4408,102.4773,471.1539
139.4454,95.82342,482.7242
157.3497,88.84618,490.7901
174.9012,81.65408,495.0831
191.9478,74.29568,492.3156
207.4384,66.76299,483.2693
221.6127,59.34826,468.3244
233.4104,52.22061,447.9678
242.8251,45.68914,423.5643
249.9195,39.60471,394.451
254.2561,34.18137,362.3674
256.5683,29.13382,330.7944
255.5741,24.90153,299.3758
252.2,21.31965,269.4408
246.5702,18.32595,240.7034
238.1951,15.82119,213.9453
229.1606,13.58363,189.2127
218.4255,11.81864,166.5872
206.262,10.39821,146.5489
193.2282,9.270655,128.7746
179.7699,8.264001,113.7463
166.33,7.458326,100.9103
151.7457,6.910238,89.86745
138.2689,6.305327,80.67639
124.7572,5.868275,72.97069
111.6452,5.397758,65.98972
100.1195,5.003907,60.20509
89.39806,4.756433,55.46313
78.95905,4.486809,51.66767
69.7962,4.076709,48.57835
61.39836,3.782097,45.75767
53.59519,3.435365,43.21759
47.10093,3.224961,41.11758
41.20991,2.815859,39.25056
36.03885,2.537771,37.38715
31.97726,2.310837,35.69006
28.55844,2.176614,34.1526
25.70993,2.093658,32.80614
23.22487,2.106885,31.42891
21.11757,1.933479,29.95868
19.42775,1.825237,28.58958
17.74328,1.662318,27.26828
16.37915,1.522221,26.20578
15.05729,1.388291,25.32147
14.17713,1.375176,24.49814
13.23396,1.566268,23.93447
12.43241,1.840296,23.71656
11.73331,2.254493,23.52782
10.95466,2.688942,23.48937
10.30758,3.126703,23.58484
9.738205,3.532251,23.66989
9.128398,3.944559,23.86386
8.47268,4.404312,24.46272
7.839948,4.904363,25.26492
7.446255,5.519013,26.3563
6.971817,6.302471,27.80268
6.69282,7.184981,29.35049
6.636739,8.116693,31.13143
6.518106,9.056965,33.00613
6.499836,10.10088,35.038
6.635005,11.1815,37.18667
6.778938,12.21908,39.58549
6.946713,13.35308,42.15736
7.216018,14.38742,44.47489
7.51187,15.54305,46.78409
8.051876,16.55105,49.14996
8.962252,17.59249,51.13725
10.23038,18.38634,53.07355
11.73598,19.31113,54.59549
13.52929,20.167,55.79128
15.61852,20.86062,56.65916
18.03374,21.42299,57.28897
20.58309,21.97127,57.37448
23.38867,22.36947,56.92414
26.07458,22.66955,56.10069
29.10443,22.7709,55.12782
32.36407,22.93111,53.84962
35.70963,22.95449,52.28646
39.29606,22.97641,50.591
43.18121,22.94803,48.64968
47.43962,22.85371,46.92185
52.17664,22.85214,45.59073
57.20194,22.83067,44.22841
62.67591,22.67997,42.91622
68.57129,22.42426,41.70076
75.44485,22.2011,40.97179
83.06865,21.92754,40.35542
90.81815,21.55891,39.7797
98.25537,20.93681,39.35352
106.5968,20.34974,39.00398
115.0849,19.51818,38.73766
122.8387,18.68631,38.2982
129.5313,17.72002,37.46152
134.6634,16.65684,36.37912
137.9955,15.64484,35.07983
139.2368,14.71551,33.85677
138.1455,13.84789,32.57396
133.7884,13.03084,31.31507
126.9897,12.17099,30.18009
119.1392,11.467,29.10711
109.3343,10.7107,27.97157
98.203,10.18346,26.96434
86.58143,9.753574,26.03235
74.88844,9.468014,25.1361
63.63216,9.19151,24.17677
53.20506,8.932398,23.37166
44.3415,8.697087,22.71229
36.67403,8.556411,22.18107
30.87763,8.338829,21.69931
26.29797,8.190502,21.23468
22.79147,7.958507,20.93978
20.45311,7.804657,20.77851
19.04523,7.857204,20.57822
18.43137,7.755543,20.37577
18.48623,7.690519,20.18958
19.28545,7.591785,19.99037
20.80528,7.440863,19.83917
22.53765,7.456297,19.68798
24.95311,7.375541,19.57264
27.84171,7.314089,19.51392
31.3199,7.271276,19.47868
35.37161,7.184107,19.2848
40.06456,7.219292,19.06896
45.67823,7.133882,19.04679
52.66764,7.211805,18.97736
61.56211,7.281425,18.91439
71.86468,7.458329,18.79427
84.36305,7.652173,18.76561
99.87701,7.890049,18.87101
118.8208,8.099136,18.96927
141.1866,8.374762,18.99701
166.8216,8.434634,19.04269
193.059,8.726803,19.14821
217.8855,9.040518,19.4174
239.1161,9.352098,19.56042
253.4022,9.772271,19.63736
258.0289,10.25458,19.81459
250.9254,10.61086,20.06303
233.2424,10.98666,20.36666
207.6652,11.43163,20.66113
177.0005,11.86276,20.9117
144.8459,12.10114,21.27504
113.4633,12.6627,21.5587
86.06038,13.14152,21.87363
64.61111,13.61446,22.19937
48.7296,14.08745,22.33501
37.97934,14.63164,22.75677
30.21691,15.28303,23.12334
25.74147,15.8568,23.55946
23.39682,16.53937,23.97484
22.20824,17.1868,24.33744
21.55635,17.82598,24.65066
21.30443,18.72163,24.93996
21.4959,19.4249,25.33202
22.5915,20.22461,25.9324
24.22965,21.05169,26.18015
26.70413,21.95783,26.62687
30.93585,23.12461,27.19749
37.33252,24.18589,27.94607
45.36135,25.50767,28.80266
57.07171,27.00356,29.71099
72.22346,28.5291,30.51983
93.06939,30.08846,31.43802
120.0438,31.59605,32.34256
152.6586,33.25897,33.22184
189.5605,35.25309,33.75342
227.5441,36.88709,34.40665
262.671,39.12838,35.0184
289.2176,41.71758,35.65038
302.5167,44.48409,36.29111
300.7805,47.56942,37.16277
283.9338,51.03576,38.45413
254.4019,55.02731,39.68323
216.582,59.3678,41.20999
175.71,64.28082,42.65628
136.9116,69.64631,44.51769
103.2391,74.69541,46.53648
76.49703,80.1039,48.7038
56.56975,85.2756,50.77828
42.98915,89.96669,52.78823
34.02704,94.17303,54.80764
28.82342,98.04794,57.02868
25.13887,102.342,58.95038
22.99994,106.4294,62.00058
21.79337,110.8892,65.4077
20.72403,115.5698,69.46801
20.0535,120.4286,74.42249
19.59796,125.7235,80.28754
19.18625,131.1634,86.51141
18.90481,136.3182,92.77645
18.99707,142.5215,99.08394
19.16601,147.4778,104.636
20.01982,153.6916,109.5806
21.62969,160.3413,114.222
24.54869,167.3103,118.9624
29.33004,174.5537,122.786
38.51793,182.7352,126.3496
50.76051,191.0855,130.0851
68.16116,199.4684,133.2323
92.22276,208.008,136.7534
123.9933,216.967,140.6517
163.2668,224.8721,144.6635
206.407,232.2761,147.7383
247.6715,239.0937,150.5709
281.317,245.1409,154.0087
301.4035,248.4958,156.6381
306.8194,251.7924,158.8326
293.7247,253.1598,160.8673
265.7118,253.2583,162.9248
228.1507,252.7801,166.6945
187.1518,251.9064,170.4636
148.3711,250.9323,175.8273
114.3194,249.5939,181.4252
86.4848,248.5274,186.4948
65.15495,247.5984,190.7734
49.28745,246.6194,194.9867
39.12387,246.5556,198.5958
31.95412,245.7234,200.9459
27.02135,245.6375,203.0598
24.05167,244.5201,204.4489
21.96685,243.8717,204.4942
20.36504,243.2347,204.8652
19.28357,244.2562,204.7002
18.38955,244.8273,203.6339
17.64737,246.5155,202.3259
17.14273,249.5117,203.2115
16.45161,252.0479,205.328
15.7591,255.6137,209.0612
15.01098,259.8443,215.0456
14.26231,263.2287,222.8552
13.40483,267.1551,232.184
12.66532,270.7077,241.6879
11.87604,273.8306,251.1284
11.18086,275.959,260.3443
10.69166,277.3204,268.0826
10.26191,277.7626,274.8469
9.814455,277.7433,279.8219
9.523078,277.8009,281.9003
9.391773,277.4096,280.8764
9.643104,278.7962,276.463
9.860401,280.6826,268.9007
10.67898,283.0235,257.8726
11.43196,286.2952,245.2874
13.09647,291.3988,232.5737
16.25967,296.6448,220.7629
21.31516,302.3326,210.7234
29.08441,307.2842,202.2304
42.40247,311.3858,195.1049
62.70044,313.3558,189.0907
92.67244,313.881,184.1673
131.8244,312.6888,179.6182
176.7131,308.1566,175.4311
222.1503,302.6211,172.0424
261.191,296.5231,169.9225
288.3868,290.3267,168.282
297.8299,284.4582,167.5242
288.4545,278.3477,166.3994
263.2048,273.3751,164.8433
227.1564,269.1469,162.7878
187.5401,265.6168,159.5749
149.4553,263.4021,155.2264
115.9426,260.9214,149.8658
89.53297,259.4582,143.7094
69.56623,258.0978,137.8899
55.91763,257.9992,131.1291
45.87687,257.6147,125.0496
38.91644,256.8021,119.546
34.04929,255.9047,114.3924
30.93892,254.7153,110.7979
28.61658,253.0322,107.3499
26.7923,250.032,104.6446
25.17085,247.0712,102.2053
23.82104,244.2222,100.0521
22.81146,241.6066,98.39084
21.82242,239.481,95.77196
20.83077,238.5678,93.43579
19.79844,238.2027,91.4082
18.96047,238.8143,89.47061
18.07439,238.5471,87.45744
17.36489,238.7594,85.14045
16.72613,237.6397,82.65979
16.50046,236.9783,80.13412
16.627,235.8911,77.59956
17.61349,234.2231,75.5509
19.09917,231.7295,73.40434
23.16715,230.2533,71.48741
30.33133,228.1835,69.99023
43.0523,225.9765,68.84946
64.65618,222.8993,67.62553
95.7799,220.5398,66.30078
136.5615,217.5167,65.03563
184.3337,214.3608,63.64115
231.7798,210.0606,62.40815
272.3675,206.2177,61.17053
297.24,202.2717,59.45767
303.6709,199.3312,57.73198
289.2191,196.2714,55.58342
257.8043,193.5646,54.02439
216.3965,191.7718,53.10274
171.1764,189.8829,53.01934
129.5209,187.4953,54.33887
95.70812,185.0106,56.52619
69.87715,181.6742,59.47963
52.5113,178.923,62.12142
40.79301,175.5765,63.88418
33.59602,172.2908,64.23177
28.8041,168.467,62.54727
25.65026,164.8768,59.9927
23.48527,161.4307,56.63983
21.77999,157.9546,52.65741
20.34616,155.3593,48.84704
19.2524,152.8233,45.079
17.94723,150.7629,41.94596
16.90913,148.4538,39.08427
16.02608,146.1065,36.65538
14.87633,143.2743,34.42934
13.84932,140.368,32.37775
12.95609,137.2722,30.60671
12.11385,134.303,28.92269
11.27033,131.045,27.22457
10.5823,128.2081,25.65324
10.05781,124.8595,24.23698
9.619237,121.6687,22.8964
9.252244,117.6883,21.8982
8.915442,113.854,20.74179
8.511539,109.8613,19.88171
8.257455,106.5892,19.16029
8.065528,103.162,18.52707
7.937113,100.0058,17.84454
7.649743,97.04475,17.35112
7.70476,94.59866,16.86282
7.713361,92.72612,16.43843
7.85302,90.89645,15.95868
8.015132,89.45363,15.5303
7.922838,88.05732,14.97797
7.806965,86.79517,14.70554
7.862021,85.47176,14.42865
7.846818,83.67781,14.13915
7.946141,81.53421,13.97954
8.092694,79.31104,13.92926
8.638859,76.87279,13.63814
9.171352,74.50189,13.21731
10.07504,71.91757,12.90066
11.46235,69.79028,12.55768
13.06006,67.89478,12.38217
16.56229,66.13937,12.01172
23.10033,64.53776,11.66482
33.16692,63.18095,11.40876
50.65938,61.58666,11.33434
74.94042,59.94685,11.3115
108.9929,58.36343,11.09163
151.6127,56.33294,10.93016
197.6857,54.37278,10.79374
241.0013,52.44589,10.74287
272.4678,50.58347,10.60026
288.1639,48.86981,10.31168
284.4831,47.36206,10.12043
261.4668,45.8648,10.01612
225.5617,44.41988,9.918613
181.2136,43.14593,9.821322
138.4062,41.95515,9.660192
101.7673,40.87635,9.498212
73.43823,39.8537,9.363086
53.80191,38.72507,9.24719
40.27028,37.78421,9.056449
32.28509,36.90856,8.954614
27.29575,35.96699,8.851864
24.05727,34.92181,8.83392
22.04429,34.0288,8.773152
20.56471,33.14832,8.639695
19.14303,32.38495,8.499187
17.75303,31.80616,8.423907
16.45976,31.03153,8.330062
15.26284,30.41922,8.263239
14.25478,29.92227,8.226221
13.21979,29.44501,8.169154
12.36501,28.82084,8.16066
11.77657,28.27124,8.19449
11.13013,27.81517,8.105857
10.78354,27.25174,8.018585
10.33543,26.64945,7.94608
10.14545,26.19766,7.970648
10.03212,25.72559,7.958643
10.2053,25.26212,8.011564
10.35509,24.88205,8.097913
10.54973,24.533,8.099005
10.86846,24.0174,8.070065
11.40337,23.75926,8.032999
12.49207,23.42115,7.888558
14.13642,22.93493,7.773554
16.95406,22.62074,7.695265
21.0889,22.52428,7.614534
30.86674,21.9171,7.564458
45.04817,21.44049,7.515913
67.08722,21.01178,7.575626
96.42287,20.63825,7.474725
133.7871,20.22681,7.389312
175.7115,20.01085,7.379748
215.1618,19.73333,7.298143
246.2032,19.58517,7.229029
264.0809,19.50616,7.254253
264.1262,19.49225,7.084063
248.8497,19.01486,7.13312
219.257,18.91866,7.11417
182.9502,18.56291,7.188112
144.1375,18.26471,7.157834
109.8096,17.88093,7.133682
81.9382,17.59166,7.087524
60.40366,17.3651,7.027013
45.73174,17.16618,7.077687
36.18767,16.98193,7.163025
29.12651,16.91092,7.134738
24.40108,16.65057,7.260119
21.80453,16.54502,7.183616
20.02177,16.09485,7.163097
18.60456,15.73887,7.15637
17.35672,15.56199,7.206395
