A1: Ladder,B1: Jono_cDNA_PLC_10F,C1: Jono_Prot_PLC_10F,D1: Nicky_cDNA_PLC_10F,E1: Nicky_PLA_PLC_10F
0,0.5672026,0.2008228,0.1378517,0
0.08722687,0.4640503,0.1721153,0.1950979,0.04494095
0.0780158,0.3153667,0.1424141,0.2576637,0.1227093
0.2169957,0.1778812,0.1367521,0.3612709,0.1818333
0.2000704,0,0.06915474,0.4393435,0.197897
0.2163129,0.00127697,0.2025671,0.5197363,0.2033253
0.1568727,0.06388283,0.368329,0.5810757,0.09512997
0.2183828,0.09239292,0.2787657,0.4683046,0.08454132
0.4061022,0.3364601,0.238616,0.3915415,0.2091541
0.4766827,0.3633175,0.1820793,0.4315147,0.3027706
0.5833349,0.2277393,0.06414795,0.3906107,0.2194462
0.6220188,0.2397995,0.09414959,0.3957148,0.0800972
0.6844025,0.2269678,0.01762676,0.3625784,0
0.8049254,0.2321358,0,0.3021765,0
0.7259502,0.2576323,0,0.3237057,0.05429363
0.7287364,0.3767519,0.0453434,0.3854761,0.06667233
0.668838,0.4257574,0.09537315,0.4209452,0.1774597
0.5922904,0.4781208,0.07215691,0.4659939,0.2492428
0.7462687,0.6129513,0.1090403,0.5484447,0.4438324
0.6615005,0.4025822,0.1836853,0.4711132,0.4694052
0.6773133,0.2462606,0.2169752,0.6939869,0.3905468
0.7373919,0.2736549,0.1810131,0.7814121,0.4849072
0.8154955,0.217535,0.06896782,0.7482243,0.5123501
0.7323093,0.2175322,0.07041454,0.7672987,0.5034742
0.6088738,0.2400608,0.1561499,0.8814402,0.5050249
0.4573789,0.2513638,0,0.7723789,0.3718863
0.3542452,0.3992558,0.07302189,0.6010828,0.5045996
0.2274933,0.639164,0.118392,0.5125732,0.5304775
0.3786831,0.6102781,0.1240015,0.3799715,0.5269661
0.3634644,0.5530834,0.2045078,0.1083174,0.4347477
0.3638949,0.5330057,0.2430468,0.1886806,0.4119425
0.5347953,0.4489918,0.2460146,0.08359432,0.4192019
0.5053592,0.3327427,0.263442,0.04646492,0.1923971
0.6405663,0.2939892,0.3379841,0.2129536,0.07612514
0.6132917,0.2841511,0.4115763,0.3016434,0.1435528
0.5740538,0.3288183,0.4123526,0.2186155,0.1930637
0.6251416,0.3610649,0.5046234,0.1422663,0.3888569
0.5699067,0.3625765,0.4251661,0.2089758,0.4385862
0.5466113,0.1999559,0.235096,0.2611685,0.3700514
0.3743663,0.1728144,0.1741524,0.3062658,0.190382
0.174861,0.2087498,0.05406475,0.2755041,0.1018887
0.1725206,0.1197977,0.04286671,0.1554823,0.06845379
0.06541824,0.3383045,0.03141022,0.1899767,0
0.174768,0.4627495,0.02918053,0.3383512,0
0.08108425,0.6529379,0.06428909,0.3912048,0.09240723
0.04635,0.676981,0,0.3593626,0.2642565
0.0373373,0.635025,0,0.3290834,0.4591045
0,0.6332064,0.034688,0.4358892,0.5103445
0.02030897,0.5955114,0,0.5457792,0.4514027
0,0.5739784,0.06235695,0.6683416,0.2782001
0.06971216,0.4214783,0.08928108,0.4630337,0.2963381
0.1105704,0.2972488,0.2277021,0.3573265,0.2359877
0.1670113,0.3679771,0.2867899,0.4539757,0.1217623
0.2011442,0.135335,0.1819296,0.332325,0.005747795
0.2395339,0.2390518,0.09374905,0.2801905,0
0.2365637,0.2390242,0,0,0.0839138
0.1339202,0.330224,0,0,0.08626747
0.1120644,0.491971,0,0,0.04716778
0.1494894,0.6209574,0,0.1443777,0
0.06535244,0.5335541,0.05835438,0.4781647,0
0.02834988,0.3500376,0.05284214,0.7418652,0.04629707
0,0.2805967,0.1521015,0.8665209,0.03956795
0.05631924,0.1918602,0.1424618,1.037595,0.1733837
0.1433992,0,0.1224623,0.8086319,0.2220259
0.333528,0.02744579,0.01118088,0.7570267,0.3281918
0.4132576,0,0,0.4834347,0.2261467
0.4097896,0.1193953,0,0.4453049,0.2071409
0.4060717,0.297533,0.0126524,0.4016552,0.2001829
0.3722839,0.2519178,0.04134178,0.6230459,0.1580858
0.2363305,0.2203388,0.275466,0.7452135,0.03691006
0.1826057,0.3204269,0.2463655,0.901226,0
0,0.68466,0.1932211,0.8560705,0
0,0.8108549,0,1.04456,0.1549435
0.05327082,0.9999657,0.041399,1.097891,0.2713642
0.2818217,1.199844,0,1.399991,0.1994886
0.4118795,1.420115,0.009716034,1.561707,0.2613277
0.5107422,1.75676,0,1.830393,0.3855028
0.5695381,2.069744,0,2.356101,0.5422459
0.6140232,2.35231,0,2.972424,0.6308279
0.7126837,3.054888,0,3.705672,0.6368799
0.7388716,3.78257,0,4.600019,0.6445341
0.5434704,4.941397,0.2217388,5.716287,0.7870531
0.5669641,6.079381,0.5392103,7.147411,0.8733788
0.5429516,7.599639,0.9144659,8.696456,0.8757439
0.6257505,9.54548,1.230607,10.73213,0.8440914
0.6949968,11.48523,1.786459,13.14659,0.8955393
0.7077112,13.89419,2.425481,15.71378,0.9574852
0.7451763,16.70394,3.460256,18.80267,1.127793
0.8796453,19.86885,4.815442,22.5122,1.466432
1.051947,23.37258,6.606727,26.66713,1.940247
0.9548626,27.2821,9.005455,31.50477,2.328811
0.825449,31.33235,11.77019,36.8255,2.891895
0.7569504,35.76841,15.31571,42.95401,3.576493
0.6872911,40.84506,19.33987,49.46886,4.29643
0.7136612,46.25586,24.52279,56.77922,5.266356
0.8443165,51.62354,30.6293,65.08157,6.477628
1.078187,57.6345,37.88269,73.34374,7.856459
1.369378,63.52266,46.12474,82.03379,9.476746
1.738716,69.54504,55.70364,92.04743,11.57902
2.129924,75.33181,66.46297,101.5679,14.43491
2.532438,80.78838,78.76358,111.8523,17.67982
3.015413,85.57353,92.23338,122.0461,21.35284
3.724874,89.96845,107.5712,132.3443,25.62675
4.494966,94.16993,123.5331,142.2331,30.6147
5.396049,97.59235,142.4967,151.7984,36.94859
6.427983,100.1395,162.6056,161.245,44.28407
7.905266,102.2216,183.2451,169.0839,52.36468
9.439343,103.3251,205.5414,176.2578,62.79421
11.36602,104.047,229.0474,182.3738,73.50132
13.81826,103.7981,253.9259,187.1173,86.39969
16.62386,102.5276,277.7084,190.7337,100.7504
19.78506,100.5717,301.1915,192.8082,115.9125
23.53652,98.08389,323.2499,194.1546,131.403
27.53093,95.15604,342.7633,193.9393,150.2968
31.70274,91.75418,362.4379,192.1799,171.9153
36.23311,87.36537,379.8559,189.4359,193.2682
41.39964,82.83141,393.7895,185.1784,216.5038
46.7425,78.20633,407.3047,180.5303,241.4977
52.67137,73.25478,418.3055,173.6006,264.1993
58.9844,68.02152,426.8298,166.8599,288.6844
65.62455,62.77549,432.0786,159.3704,311.7403
72.15004,57.8402,435.475,151.1119,333.6991
79.05179,53.26589,434.1524,142.5357,354.1152
