A1: Ladder,B1: Luke_PLA2.3b_10F,C1: Nicky_PLA2.3b_10F
0.1636028,0.5721731,0
0.09064674,0.4416666,0.1055632
0.03774357,0.2757034,0.06748104
0.1131554,0.3740559,0.07314682
0,0.1422338,0.1168709
0.0511179,0.07537079,0.1291037
0.2371855,0.08562565,0.1492453
0.2875347,0,0.05220127
0.2377777,0.08093739,0
0.1008883,0.04820728,0
0.02974796,0.09491348,0.0208025
0,0.1457195,0.01422119
0.02306461,0.2123442,0.01734638
0.07896233,0.4444866,0.1884718
0,0.419364,0.2201147
0,0.4004917,0.2865181
0.3291569,0.3767214,0.4137793
0.4833288,0.2072563,0.3702965
0.621192,0.1278772,0.3367901
0.7869568,0,0.3829327
0.8198271,0,0.3920937
0.845046,0,0.24195
0.8499899,0,0.3174152
0.7228508,0.01201439,0.3323154
0.6472425,0.1639128,0.08041954
0.5129395,0.03756523,0.06504726
0.5647144,0.149682,0.1061888
0.4598293,0.2115993,0.1044607
0.4824667,0.2974339,0.09417057
0.4061956,0.403307,0.02801323
0.2984266,0.5670319,0
0.2501173,0.4866381,0.08301926
0.1571388,0.3857613,0.3196182
0,0.3239279,0.2867374
0.1175642,0.2007818,0.4322395
0.1434221,0.09664249,0.7088594
0.306385,0.1638346,0.8541384
0.5337286,0.07866859,1.070123
0.8513651,0.1198759,1.11606
0.8013086,0.02896595,1.024655
0.8231287,0,1.069094
0.842515,0.06638432,1.142833
0.6500702,0.07971478,1.09654
0.4772072,0.210845,0.9963884
0.5000801,0.3371964,1.177999
0.5655174,0.3414307,1.427418
0.7518082,0.4196033,1.567365
0.7798252,0.2964287,1.919654
0.8220892,0.4332943,2.161273
0.6894894,0.443759,2.672331
0.5581894,0.8250294,3.090541
0.3998184,1.252666,3.72243
0.301096,1.672424,4.485723
0.3441496,2.256243,5.611403
0.5453739,3.005672,7.105529
0.6696148,3.79837,9.139638
0.787406,5.155675,11.94733
0.7314749,6.526429,15.17384
0.746994,8.321057,19.14651
0.8572884,10.6941,23.76934
0.9513168,13.89823,28.65215
1.125814,16.93837,34.83478
1.295395,20.94547,42.71253
1.681643,25.60186,51.36157
2.168407,31.29906,62.50039
2.599768,38.30508,75.49667
3.260802,46.63924,92.1284
4.078102,55.14543,108.9121
5.298493,65.50902,128.7263
7.039533,77.07619,150.4358
9.262586,89.61835,172.9491
11.99374,102.85,196.9579
15.01813,116.9846,222.7861
19.18165,131.3072,248.9713
24.10295,146.5715,276.4421
30.00016,161.2746,303.9018
36.87193,174.8761,330.7516
44.9696,186.7845,355.0628
54.2831,197.7992,377.2706
65.54983,207.5735,397.3191
76.886,215.5037,412.3054
89.73875,221.1866,422.5212
103.1846,225.0884,429.1308
117.9628,226.8097,430.6033
132.4005,225.9839,427.39
147.6968,222.0695,420.1694
162.5401,215.8791,408.2059
177.4219,208.12,393.6512
191.7857,198.2037,374.6898
205.7825,187.0447,355.0411
