A1: Ladder,B1: P8,C1: P8 10F
0,0.003477573,0
0.1658068,0.1110997,0.1624646
0.3043537,0.2074299,0.3088617
0.3997726,0.3524342,0.5202293
0.5429678,0.3594704,0.4802289
0.491147,0.233963,0.3425078
0.3808866,0.1779842,0.04313946
0.2205229,0.1402359,0.0565238
0.08725786,0.02811861,0.21489
0.003504753,0,0.2929993
0,0,0.3264284
0,0.1669364,0.3780718
0,0.269434,0.1634016
0.06945992,0.4727221,0.2267342
0.368506,0.48771,0.1530905
0.4325552,0.3880959,0.09407902
0.4426479,0.3910589,0
0.3653932,0.1502504,0
0.3256264,0,0
0.2717161,0.01486874,0
0.2098579,0.1660624,0.06785774
0.1005077,0.2363234,0.08843422
0.04046154,0.2677555,0.002954483
0,0.271162,0.08910751
0.1453876,0.2866831,0.1854267
0.0480299,0.2409306,0.115674
0.02186584,0.1658421,0
0,0,0.06353378
0.002093315,0.01610851,0.07526875
0.01110554,0.07853889,0.06750202
0.08008003,0.1985474,0.1705208
0.2336311,0.134017,0.1910276
0.289135,0.1315098,0.2320042
0.2400646,0.0431757,0.131753
0.2478952,0.08511734,0.1744127
0.2359543,0.07694721,0.0689373
0.2018461,0.06830025,0.03109837
0.163312,0.1246958,0
0.07239819,0.2352591,0.02565765
0,0.1993475,0
0.05425072,0.1256628,0
0.1314774,0.1065044,0.08109951
0.1207495,0.100605,0
0.1856413,0.08533955,0
0.4969978,0.05888081,0
0.8185186,0.1161594,0
1.100524,0.2242393,0
1.58164,0.4487953,0
2.137195,0.5876265,0.2962837
2.950251,0.6718597,0.5700951
3.9457,0.8145208,0.7774048
5.167371,0.988472,1.06191
6.761225,1.183798,1.31918
8.644434,1.34863,1.900953
11.00597,1.6266,2.668376
13.62413,2.078398,3.455319
16.82433,2.481619,4.812939
20.63824,3.145136,6.346073
25.00293,3.948135,8.567724
30.01257,4.928101,11.33937
35.52351,6.440822,14.2064
41.55858,8.02448,17.97636
48.21977,9.94562,22.56918
55.30655,12.29323,28.30228
62.87141,15.3413,35.40653
70.38073,18.79247,43.83348
78.32404,22.37309,53.11356
85.585,27.16101,62.94643
92.89844,32.277,75.2306
99.70519,38.00109,89.13176
106.2706,44.49841,103.9745
111.7912,51.28297,119.8396
116.1704,58.52032,137.8566
119.8223,66.42398,157.5257
122.5418,75.05826,179.3568
124.3988,83.74197,201.849
125.0083,92.79043,223.9388
124.4083,101.6721,246.3743
122.9811,109.2461,269.8601
120.5602,117.0595,292.3885
117.7939,123.3313,312.7488
113.6777,128.8139,331.2893
108.5162,133.2958,349.7434
103.1029,137.1456,364.0765
97.17341,139.6961,375.8984
90.94706,140.2578,384.3568
84.03365,140.1784,389.0201
77.36272,138.1513,390.6198
70.334,134.6968,387.41
63.64602,130.8715,381.8008
57.29124,125.4033,373.2622
51.22192,119.7611,360.1894
45.59808,113.4706,345.4895
40.27628,106.8501,327.8676
35.42495,99.27685,309.461
31.13578,91.14684,290.3402
27.28447,83.36696,270.4663
23.96607,75.40388,250.2588
21.24593,67.43546,229.1583
18.84089,60.10279,210.8502
16.7892,53.22435,191.6081
15.09296,46.99825,171.4766
13.6939,41.23908,153.9979
12.26888,36.24917,138.2633
11.28853,31.83807,123.9017
